  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.5498E-03      1.0251E+00      1.0010E+00      1.0414E+00      2.5163E-03      8.8393E+01      9.1357E+01      1.0000E+00
      2.4939E-03      1.0140E+00      1.0003E+00      1.0217E+00      2.4580E-03      8.8786E+01      9.0789E+01      1.0000E+00
      2.4719E-03      1.0056E+00      1.0002E+00      1.0098E+00      2.4664E-03      8.9006E+01      9.0936E+01      1.0000E+00
      2.4786E-03      1.0045E+00      1.0002E+00      1.0100E+00      2.4742E-03      8.8894E+01      9.1131E+01      1.0000E+00
      2.4871E-03      1.0032E+00      1.0002E+00      1.0074E+00      2.4830E-03      8.8846E+01      9.1130E+01      1.0000E+00
      2.4936E-03      1.0022E+00      1.0002E+00      1.0048E+00      2.4903E-03      8.8862E+01      9.1099E+01      1.0000E+00
      2.4975E-03      1.0016E+00      1.0002E+00      1.0029E+00      2.4952E-03      8.8881E+01      9.1072E+01      1.0000E+00
      2.4988E-03      1.0014E+00      1.0002E+00      1.0020E+00      2.4977E-03      8.8897E+01      9.1103E+01      1.0000E+00
      2.4975E-03      1.0016E+00      1.0002E+00      1.0029E+00      2.4952E-03      8.8908E+01      9.1141E+01      1.0000E+00
      2.4937E-03      1.0022E+00      1.0002E+00      1.0047E+00      2.4903E-03      8.8869E+01      9.1175E+01      1.0000E+00
      2.4873E-03      1.0033E+00      1.0002E+00      1.0074E+00      2.4829E-03      8.8836E+01      9.1198E+01      1.0000E+00
      2.4784E-03      1.0047E+00      1.0003E+00      1.0108E+00      2.4734E-03      8.8806E+01      9.1205E+01      1.0000E+00
      2.4684E-03      1.0069E+00      1.0003E+00      1.0151E+00      2.4627E-03      8.8763E+01      9.1202E+01      1.0000E+00
      2.4667E-03      1.0092E+00      1.0004E+00      1.0176E+00      2.4646E-03      8.8663E+01      9.1308E+01      1.0000E+00
      2.5094E-03      1.0148E+00      1.0014E+00      1.0318E+00      2.4772E-03      8.7127E+01      9.2334E+01      1.0000E+00
      2.5774E-03      1.0230E+00      1.0028E+00      1.0363E+00      2.5252E-03      8.5914E+01      9.3360E+01      1.0000E+00
      2.5521E-03      1.0213E+00      1.0030E+00      1.0405E+00      2.4859E-03      8.7103E+01      9.4376E+01      1.0000E+00
      2.4228E-03      1.0198E+00      1.0043E+00      1.0574E+00      2.3679E-03      8.5654E+01      9.4250E+01      1.0000E+00
      2.3390E-03      1.0518E+00      1.0064E+00      1.0922E+00      2.2793E-03      8.4842E+01      9.4221E+01      1.0000E+00
      2.7060E-03      1.1115E+00      1.0377E+00      1.2327E+00      2.4045E-03      7.5002E+01      9.9995E+01      1.0000E+00
      2.6336E-03      1.0965E+00      1.0296E+00      1.2552E+00      2.2371E-03      8.4530E+01      1.0142E+02      1.0000E+00
      1.9487E-03      1.1279E+00      1.0407E+00      1.2924E+00      1.7353E-03      7.8237E+01      9.6918E+01      1.0000E+00
      1.4932E-03      1.5211E+00      1.2532E+00      1.7871E+00      8.9813E-04      6.3356E+01      1.2651E+02      1.0000E+00
      1.5910E-03      1.3016E+00      1.3378E+00      1.6286E+00      9.5006E-04      6.5951E+01      1.2933E+02      1.0000E+00
      2.4333E-03      1.1592E+00      1.0561E+00      1.2603E+00      2.1469E-03      7.2297E+01      1.0736E+02      1.0000E+00
      2.5776E-03      1.1143E+00      1.0137E+00      1.1613E+00      2.3793E-03      8.4793E+01      9.5454E+01      1.0000E+00
      2.3803E-03      1.0243E+00      1.0048E+00      1.0545E+00      2.2912E-03      8.6330E+01      9.5373E+01      1.0000E+00
      2.5066E-03      1.0256E+00      1.0022E+00      1.0389E+00      2.4615E-03      8.6932E+01      9.3520E+01      1.0000E+00
      2.5435E-03      1.0177E+00      1.0006E+00      1.0309E+00      2.5246E-03      8.8758E+01      9.1073E+01      1.0000E+00
      2.5075E-03      1.0128E+00      1.0003E+00      1.0229E+00      2.4810E-03      8.9040E+01      9.0516E+01      1.0000E+00
      2.4994E-03      1.0062E+00      1.0002E+00      1.0125E+00      2.4856E-03      8.9315E+01      9.0988E+01      1.0000E+00
      2.5154E-03      1.0069E+00      1.0001E+00      1.0130E+00      2.5073E-03      8.9472E+01      9.0672E+01      1.0000E+00
      2.5188E-03      1.0062E+00      1.0001E+00      1.0113E+00      2.5129E-03      8.9743E+01      9.0187E+01      1.0000E+00
      2.5090E-03      1.0047E+00      1.0000E+00      1.0070E+00      2.5013E-03      8.9843E+01      9.0195E+01      1.0000E+00
      2.5000E-03      1.0011E+00      1.0000E+00      1.0023E+00      2.4967E-03      8.9861E+01      9.0120E+01      1.0000E+00
      2.4973E-03      1.0006E+00      1.0000E+00      1.0013E+00      2.4972E-03      8.9848E+01      9.0153E+01      1.0000E+00
      2.4978E-03      1.0006E+00      1.0000E+00      1.0013E+00      2.4972E-03      8.9808E+01      9.0188E+01      1.0000E+00
      2.4988E-03      1.0004E+00      1.0000E+00      1.0009E+00      2.4982E-03      8.9804E+01      9.0189E+01      1.0000E+00
      2.4994E-03      1.0003E+00      1.0000E+00      1.0006E+00      2.4990E-03      8.9806E+01      9.0185E+01      1.0000E+00
      2.4997E-03      1.0002E+00      1.0000E+00      1.0004E+00      2.4995E-03      8.9809E+01      9.0191E+01      1.0000E+00
      2.4994E-03      1.0003E+00      1.0000E+00      1.0006E+00      2.4990E-03      8.9810E+01      9.0198E+01      1.0000E+00
      2.4988E-03      1.0004E+00      1.0000E+00      1.0009E+00      2.4982E-03      8.9803E+01      9.0204E+01      1.0000E+00
      2.4977E-03      1.0006E+00      1.0000E+00      1.0013E+00      2.4969E-03      8.9796E+01      9.0209E+01      1.0000E+00
      2.4963E-03      1.0008E+00      1.0000E+00      1.0019E+00      2.4955E-03      8.9790E+01      9.0213E+01      1.0000E+00
      2.4959E-03      1.0012E+00      1.0000E+00      1.0025E+00      2.4954E-03      8.9776E+01      9.0235E+01      1.0000E+00
      2.5006E-03      1.0022E+00      1.0000E+00      1.0044E+00      2.4966E-03      8.9555E+01      9.0356E+01      1.0000E+00
      2.5135E-03      1.0037E+00      1.0001E+00      1.0067E+00      2.5024E-03      8.9130E+01      9.0646E+01      1.0000E+00
      2.5235E-03      1.0044E+00      1.0002E+00      1.0074E+00      2.5127E-03      8.8902E+01      9.1032E+01      1.0000E+00
      2.5137E-03      1.0037E+00      1.0003E+00      1.0076E+00      2.4994E-03      8.9020E+01      9.1275E+01      1.0000E+00
      2.4934E-03      1.0044E+00      1.0004E+00      1.0121E+00      2.4828E-03      8.8667E+01      9.1375E+01      1.0000E+00
      2.5119E-03      1.0136E+00      1.0010E+00      1.0249E+00      2.4919E-03      8.7617E+01      9.2009E+01      1.0000E+00
      2.5492E-03      1.0259E+00      1.0023E+00      1.0374E+00      2.5153E-03      8.6624E+01      9.3340E+01      1.0000E+00
      2.4880E-03      1.0257E+00      1.0035E+00      1.0614E+00      2.4207E-03      8.6949E+01      9.4012E+01      1.0000E+00
      2.3638E-03      1.0465E+00      1.0057E+00      1.0992E+00      2.2869E-03      8.5600E+01      9.2860E+01      1.0000E+00
      2.6170E-03      1.1070E+00      1.0291E+00      1.2168E+00      2.3786E-03      7.7389E+01      9.7899E+01      1.0000E+00
      2.3915E-03      1.0867E+00      1.0375E+00      1.3003E+00      2.0498E-03      8.3503E+01      9.8694E+01      1.0000E+00
      1.6023E-03      1.4937E+00      1.2569E+00      1.7680E+00      9.4398E-04      6.4797E+01      1.2681E+02      1.0000E+00
      1.5994E-03      1.2923E+00      1.3498E+00      1.6337E+00      9.4504E-04      6.6295E+01      1.2967E+02      1.0000E+00
      2.4822E-03      1.1789E+00      1.0602E+00      1.2753E+00      2.1804E-03      7.2260E+01      1.0766E+02      1.0000E+00
      2.6824E-03      1.1224E+00      1.0173E+00      1.1723E+00      2.4819E-03      8.3566E+01      9.6074E+01      1.0000E+00
      2.4709E-03      1.0254E+00      1.0026E+00      1.0601E+00      2.4106E-03      8.7593E+01      9.3290E+01      1.0000E+00
      2.5179E-03      1.0154E+00      1.0007E+00      1.0335E+00      2.4976E-03      8.8781E+01      9.0909E+01      1.0000E+00
      2.5083E-03      1.0117E+00      1.0003E+00      1.0242E+00      2.4860E-03      8.9236E+01      9.0286E+01      1.0000E+00
      2.5089E-03      1.0061E+00      1.0001E+00      1.0132E+00      2.4992E-03      8.9633E+01      9.0531E+01      1.0000E+00
      2.5163E-03      1.0046E+00      1.0000E+00      1.0091E+00      2.5129E-03      8.9856E+01      9.0075E+01      1.0000E+00
      2.5112E-03      1.0041E+00      1.0000E+00      1.0069E+00      2.5060E-03      8.9875E+01      9.0168E+01      1.0000E+00
      2.5054E-03      1.0018E+00      1.0000E+00      1.0036E+00      2.5033E-03      8.9948E+01      9.0046E+01      1.0000E+00
      2.5048E-03      1.0014E+00      1.0000E+00      1.0028E+00      2.5037E-03      8.9974E+01      9.0043E+01      1.0000E+00
      2.5050E-03      1.0013E+00      1.0000E+00      1.0024E+00      2.5042E-03      8.9966E+01      9.0040E+01      1.0000E+00
      2.5034E-03      1.0011E+00      1.0000E+00      1.0017E+00      2.5020E-03      8.9930E+01      9.0062E+01      1.0000E+00
      2.5013E-03      1.0005E+00      1.0000E+00      1.0007E+00      2.5003E-03      8.9962E+01      9.0030E+01      1.0000E+00
      2.5001E-03      1.0001E+00      1.0000E+00      1.0002E+00      2.4998E-03      8.9989E+01      9.0014E+01      1.0000E+00
      2.4998E-03      1.0001E+00      1.0000E+00      1.0001E+00      2.4998E-03      8.9981E+01      9.0018E+01      1.0000E+00
      2.4999E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.4998E-03      8.9979E+01      9.0020E+01      1.0000E+00
      2.4999E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.4999E-03      8.9979E+01      9.0020E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.4999E-03      8.9979E+01      9.0021E+01      1.0000E+00
      2.4999E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.4999E-03      8.9979E+01      9.0022E+01      1.0000E+00
      2.4999E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.4998E-03      8.9978E+01      9.0023E+01      1.0000E+00
      2.4997E-03      1.0001E+00      1.0000E+00      1.0002E+00      2.4997E-03      8.9977E+01      9.0023E+01      1.0000E+00
      2.4997E-03      1.0001E+00      1.0000E+00      1.0002E+00      2.4996E-03      8.9976E+01      9.0026E+01      1.0000E+00
      2.5001E-03      1.0002E+00      1.0000E+00      1.0004E+00      2.4997E-03      8.9955E+01      9.0037E+01      1.0000E+00
      2.5016E-03      1.0004E+00      1.0000E+00      1.0008E+00      2.5002E-03      8.9895E+01      9.0075E+01      1.0000E+00
      2.5041E-03      1.0006E+00      1.0000E+00      1.0012E+00      2.5017E-03      8.9812E+01      9.0144E+01      1.0000E+00
      2.5056E-03      1.0005E+00      1.0000E+00      1.0014E+00      2.5037E-03      8.9772E+01      9.0218E+01      1.0000E+00
      2.5046E-03      1.0005E+00      1.0000E+00      1.0011E+00      2.5024E-03      8.9767E+01      9.0277E+01      1.0000E+00
      2.5055E-03      1.0013E+00      1.0000E+00      1.0017E+00      2.5034E-03      8.9612E+01      9.0389E+01      1.0000E+00
      2.5128E-03      1.0036E+00      1.0001E+00      1.0054E+00      2.5050E-03      8.9248E+01      9.0669E+01      1.0000E+00
      2.5166E-03      1.0054E+00      1.0002E+00      1.0080E+00      2.5061E-03      8.9049E+01      9.1039E+01      1.0000E+00
      2.5064E-03      1.0064E+00      1.0003E+00      1.0137E+00      2.4922E-03      8.8951E+01      9.1310E+01      1.0000E+00
      2.5121E-03      1.0142E+00      1.0008E+00      1.0229E+00      2.4989E-03      8.8115E+01      9.1918E+01      1.0000E+00
      2.5229E-03      1.0257E+00      1.0019E+00      1.0447E+00      2.4882E-03      8.7498E+01      9.2985E+01      1.0000E+00
      2.4772E-03      1.0293E+00      1.0037E+00      1.0713E+00      2.4352E-03      8.6820E+01      9.3000E+01      1.0000E+00
